store,product_code,price_euros,cpu,cores,threads,cpu_benchmk,ram_type,ram_gb,storage_gb,storage_type,screen_in,screen_type,display_res,display_cat,weight_kgr,battery_wh,usb_a_b,usb_c,hdmi,wireless_comm,bluetooth,webcam,os,model,model_
public,1910506,499,AMD Ryzen 5-7520U,4,8,9088,LPDDR5,16,512,NVMe,15.6,IPS,1920x1080,FHD,1.63,42,2,1,1,Wi-Fi 6,v5.3,720p,win 11 home,Asus Vivobook E1504FA-BQ521W 15.6'' FHD IPS,Asus Vivobook E1504FA-BQ521W 15.6''
public,1796783,500,AMD Ryzen 5-7520U,4,8,9088,LPDDR5,16,512,NVMe,15.6,IPS,1920x1080,FHD,1.59,41,2,1,1,Wi-Fi 6e,v5.3,1080p,win 11 home,"HP 15-FC0008NV 15.6"" Full HD","HP 15-FC0008NV 15.6"""
public,2011314,750,Intel Core i5-1334U,10,12,13416,DDR4,16,512,NVMe,15.6,IPS,1920x1080,FHD,1.79,51,2,2,1,Wi-Fi 6e,v5.3,720p,win 11 pro,HP ProBook G10 15.6'' FHD IPS,HP ProBook G10 15.6''
public,1958872,1150,AMD Ryzen 7-8845HS,8,16,22476,DDR5,16,512,NVMe,15.6,IPS,1920x1080,FHD,2.29,70,2,1,1,Wi-Fi 6e,v5.3,720p,win 11 home,HP Victus 15 15-FB2000NV 15.6'' FHD IPS,HP Victus 15 15-FB2000NV 15.6''
public,2013278,700,AMD Ryzen 7-5825U,8,12,14777,DDR4,16,1024,NVMe,15.6,IPS,1920x1080,FHD,1.62,47,2,1,1,Wi-Fi 6,v5.2,1080p,win 11 home,"Lenovo IdeaPad Slim 3 15ABR8 15.6"" FHD IPS","Lenovo IdeaPad Slim 3 15ABR8 15.6"""
public,2013277,800,Intel Core i5-13420H,8,12,17415,DDR5,16,1024,NVMe,15.1,OLED,2560x1600,QHD,1.49,60,2,1,1,Wi-Fi 7,v5.4,1080p,win 11 home,"Lenovo IdeaPad Slim 3 15IRH10 15.1"" QHD+ OLED","Lenovo IdeaPad Slim 3 15IRH10 15.1"""
public,1796785,630,AMD Ryzen 7-7730U,8,16,18014,DDR4,16,512,NVMe,15.6,IPS,1920x1080,FHD,1.59,41,2,1,1,Wi-Fi 6,v5.3,1080p,win 11 home,"HP 15-FC0011NV 15.6"" Full HD","HP 15-FC0011NV 15.6"""
public,1986735,750,Intel Core i7-1355U,10,12,18909,DDR4,16,1024,NVMe,15.6,IPS,1920x1080,FHD,1.59,41,1,1,1,Wi-Fi 6,v5.3,1080p,win 11 home,"HP 15-fd0028nv 15.6"" FHD Micro-Edge","HP 15-fd0028nv 15.6"""
public,1922278,800,Intel Core i7-1355U,10,12,18909,DDR4,16,1024,NVMe,15.6,VA,1920x1080,FHD,1.62,54,3,0,1,Wi-Fi 6,v5.3,1080p,win 11 home,Dell Inspiron 3530 15.6'' FHD,Dell Inspiron 3530 15.6''
public,2013279,1099,AMD Ryzen AI 7-350,8,16,24402,LPDDR5x,32,1024,NVMe,14,OLED,1920x1200,FHD+,1.19,70,1,2,1,Wi-Fi 7,v5.4,1080p,win 11 home,"Lenovo Yoga Slim 7 14AKP10 14"" FHD OLED","Lenovo Yoga Slim 7 14AKP10 14"""
